LOCAL_DATE,STATION_NAME,LATITUDE,LONGITUDE,MIN_TEMPERATURE,MAX_TEMPERATURE,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_RAIN,TOTAL_SNOW,SNOW_ON_GROUND
2013-01-22,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.5,10.0,6.3,6.4,6.4,0.0,0.0
2013-01-23,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.0,6.5,5.3,5.8,5.8,0.0,0.0
2013-01-24,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.0,8.0,6.0,7.6,7.6,0.0,0.0
2013-01-25,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.0,8.0,6.5,22.4,22.4,0.0,0.0
2013-01-26,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.5,6.0,5.3,8.6,8.6,0.0,0.0
2013-01-27,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.5,5.5,4.5,15.8,15.8,0.0,0.0
2013-01-28,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,1.0,4.0,2.5,27.2,27.2,0.0,0.0
2013-01-29,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.0,5.5,4.3,21.4,21.4,0.0,0.0
2013-01-30,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.5,8.0,6.3,21.6,21.6,0.0,0.0
2013-01-31,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.5,7.5,6.5,10.6,10.6,0.0,0.0
2013-02-01,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.5,8.0,6.8,0.0,0.0,0.0,0.0
2013-02-02,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.0,7.5,6.3,10.4,10.4,0.0,0.0
2013-02-03,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.5,7.5,6.5,61.6,61.6,0.0,0.0
2013-02-04,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.0,10.0,7.5,7.8,7.8,0.0,0.0
2013-02-05,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.0,8.0,6.5,20.0,20.0,0.0,0.0
2013-02-06,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.5,8.0,6.3,1.2,1.2,0.0,0.0
2013-02-07,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.0,9.5,7.3,0.4,0.4,0.0,0.0
2013-02-08,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.5,6.0,5.3,8.8,8.8,0.0,0.0
2013-02-09,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.0,7.5,6.3,1.0,1.0,0.0,0.0
2013-02-10,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.0,8.5,6.3,7.0,7.0,0.0,0.0
2013-02-11,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.5,6.5,5.5,21.6,21.6,0.0,0.0
2013-02-12,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.0,8.0,6.0,25.2,25.2,0.0,0.0
2013-02-13,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.5,7.0,4.8,15.6,15.6,0.0,0.0
2013-02-14,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.0,7.0,5.5,17.2,17.2,0.0,0.0
2013-02-15,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,6.0,9.0,7.5,12.6,12.6,0.0,0.0
2013-02-16,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.0,7.5,6.3,4.2,4.2,0.0,0.0
2013-02-17,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.5,6.5,4.5,1.2,1.2,0.0,0.0
2013-02-18,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.0,6.0,4.5,2.0,2.0,0.0,0.0
2013-02-19,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.0,8.0,5.0,0.2,0.2,0.0,0.0
2013-02-20,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.0,6.0,4.0,32.4,32.4,0.0,0.0
2013-02-21,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.5,6.5,4.5,36.6,36.6,0.0,0.0
2013-02-22,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.5,6.0,4.3,26.0,26.0,0.0,0.0
2013-02-23,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.0,7.0,5.0,20.4,20.4,0.0,0.0
2013-02-24,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.0,5.5,4.3,80.0,80.0,0.0,0.0
2013-02-25,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,1.0,8.0,4.5,0.0,0.0,0.0,0.0
2013-02-26,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.0,8.0,5.5,9.6,9.6,0.0,0.0
2013-02-27,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.5,7.0,5.3,2.4,2.4,0.0,0.0
2013-02-28,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.0,8.0,6.5,9.2,9.2,0.0,0.0
2013-03-01,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.0,8.0,6.5,30.2,30.2,0.0,0.0
2013-03-02,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.0,9.0,6.5,10.6,10.6,0.0,0.0
2013-03-03,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.0,7.0,4.5,0.0,0.0,0.0,0.0
2013-03-04,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,0.0,8.0,4.0,0.0,0.0,0.0,0.0
2013-03-05,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.5,7.0,4.8,0.0,0.0,0.0,0.0
2013-03-06,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.0,9.0,6.0,0.0,0.0,0.0,0.0
2013-03-07,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.0,10.5,6.3,0.0,0.0,0.0,0.0
2013-03-08,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.0,9.5,6.3,0.0,0.0,0.0,0.0
2013-03-09,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.5,7.5,5.0,3.6,3.6,0.0,0.0
2013-03-10,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.5,8.0,5.8,0.2,0.2,0.0,0.0
2013-03-11,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,1.0,7.0,4.0,6.6,6.6,0.0,0.0
2013-03-12,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.0,8.5,6.3,40.2,40.2,0.0,0.0
2013-03-13,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,6.0,9.5,7.8,50.4,50.4,0.0,0.0
2013-03-14,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.0,9.0,7.0,29.6,29.6,0.0,0.0
2013-03-15,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.0,8.0,6.5,18.6,18.6,0.0,0.0
2013-03-16,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.0,5.5,4.3,15.2,15.2,0.0,0.0
2013-03-17,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,1.0,5.5,3.3,13.8,13.8,0.0,0.0
2013-03-18,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,1.0,7.0,4.0,2.2,2.2,0.0,0.0
2013-03-19,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,1.0,6.5,3.8,24.8,24.8,0.0,0.0
2013-03-20,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.0,6.0,4.0,10.0,10.0,0.0,0.0
2013-03-21,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,0.5,7.5,4.0,4.8,4.8,0.0,0.0
2013-03-22,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,-0.5,7.0,3.3,0.0,0.0,0.0,0.0
2013-03-23,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.0,8.5,5.3,1.6,1.6,0.0,0.0
2013-03-24,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.5,9.5,7.0,8.2,8.2,0.0,0.0
2013-03-25,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.0,11.0,8.0,7.6,7.6,0.0,0.0
2013-03-26,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,6.5,8.5,7.5,4.0,4.0,0.0,0.0
2013-03-27,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.5,11.5,8.5,0.0,0.0,0.0,0.0
2013-03-28,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.0,9.5,6.8,0.0,0.0,0.0,0.0
2013-03-29,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.5,10.5,7.5,0.0,0.0,0.0,0.0
2013-03-30,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.5,12.0,7.8,0.0,0.0,0.0,0.0
2013-03-31,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.5,13.5,9.5,0.0,0.0,0.0,0.0
2013-04-01,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,6.0,12.5,9.3,0.0,0.0,0.0,0.0
2013-04-02,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,7.5,9.5,8.5,0.0,0.0,0.0,0.0
2013-04-03,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,6.0,12.5,9.3,0.0,0.0,0.0,0.0
2013-04-04,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,7.5,9.5,8.5,17.0,17.0,0.0,0.0
2013-04-05,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,8.0,10.5,9.3,20.0,20.0,0.0,0.0
2013-04-06,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.5,10.0,7.8,8.4,8.4,0.0,0.0
2013-04-07,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.5,12.0,8.8,0.0,0.0,0.0,0.0
2013-04-08,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.5,10.0,7.8,8.4,8.4,0.0,0.0
2013-04-09,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,6.0,8.5,7.3,32.8,32.8,0.0,0.0
2013-04-10,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.0,9.0,7.0,5.4,5.4,0.0,0.0
2013-04-11,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.5,9.0,5.8,1.8,1.8,0.0,0.0
2013-04-12,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.0,7.0,5.0,15.6,15.6,0.0,0.0
2013-04-13,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.0,9.0,5.5,1.6,1.6,0.0,0.0
2013-04-14,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.5,11.0,7.8,0.4,0.4,0.0,0.0
2013-04-15,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.0,12.5,8.3,0.0,0.0,0.0,0.0
2013-04-16,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.5,13.5,9.0,0.0,0.0,0.0,0.0
2013-04-17,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.5,9.0,7.3,2.0,2.0,0.0,0.0
2013-04-18,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,7.0,8.5,7.8,32.6,32.6,0.0,0.0
2013-04-19,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,7.0,10.0,8.5,3.8,3.8,0.0,0.0
2013-04-20,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.5,10.5,8.0,0.0,0.0,0.0,0.0
2013-04-21,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.0,12.0,8.5,0.0,0.0,0.0,0.0
2013-04-22,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.5,13.5,8.5,0.0,0.0,0.0,0.0
2013-04-23,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,7.0,15.0,11.0,0.0,0.0,0.0,0.0
2013-04-24,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,6.0,13.0,9.5,0.6,0.6,0.0,0.0
2013-04-25,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,8.0,11.5,9.8,0.0,0.0,0.0,0.0
2013-04-26,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,8.0,11.0,9.5,45.8,45.8,0.0,0.0
2013-04-27,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,7.0,11.0,9.0,1.2,1.2,0.0,0.0
2013-04-28,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.5,8.5,6.5,21.8,21.8,0.0,0.0
2013-04-29,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.5,8.5,6.0,1.8,1.8,0.0,0.0
2013-04-30,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,1.5,10.0,5.8,0.4,0.4,0.0,0.0
2013-05-01,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.5,10.5,6.5,1.8,1.8,0.0,0.0
2013-05-02,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,7.0,11.0,9.0,6.2,6.2,0.0,0.0
2013-05-03,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,7.5,14.5,11.0,0.0,0.0,0.0,0.0
2013-05-04,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,8.0,17.5,12.8,0.0,0.0,0.0,0.0
2013-05-05,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.0,20.5,14.8,0.0,0.0,0.0,0.0
2013-05-06,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.5,17.0,13.3,0.0,0.0,0.0,0.0
2013-05-07,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.5,15.0,8.8,0.0,0.0,0.0,0.0
2013-05-08,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,8.5,14.0,11.3,0.0,0.0,0.0,0.0
2013-05-09,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.0,15.0,12.0,0.0,0.0,0.0,0.0
2013-05-10,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,8.5,14.5,11.5,2.2,2.2,0.0,0.0
2013-05-11,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,8.5,14.5,11.5,2.2,2.2,0.0,0.0
2013-05-12,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,10.5,16.0,13.3,2.9,2.9,0.0,0.0
2013-05-13,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.0,16.5,12.8,2.4,2.4,0.0,0.0
2013-05-14,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,8.5,12.5,10.5,15.0,15.0,0.0,0.0
2013-05-15,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.0,13.5,8.3,2.0,2.0,0.0,0.0
2013-05-16,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,8.5,17.0,12.8,0.4,0.4,0.0,0.0
2013-05-17,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.5,16.5,13.0,3.8,3.8,0.0,0.0
2013-05-18,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.0,14.0,11.5,8.8,8.8,0.0,0.0
2013-05-19,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,8.0,13.5,10.8,0.8,0.8,0.0,0.0
2013-05-20,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.0,12.5,7.8,2.2,2.2,0.0,0.0
2013-05-21,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,7.5,15.0,11.3,0.4,0.4,0.0,0.0
2013-05-22,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,10.0,16.0,13.0,0.0,0.0,0.0,0.0
2013-05-23,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.5,13.0,11.3,4.8,4.8,0.0,0.0
2013-05-24,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.0,14.0,11.5,4.2,4.2,0.0,0.0
2013-05-25,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,8.5,15.5,12.0,0.0,0.0,0.0,0.0
2013-05-26,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.0,16.0,12.5,0.0,0.0,0.0,0.0
2013-05-27,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,11.0,19.5,15.3,0.4,0.4,0.0,0.0
2013-05-28,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,11.0,15.5,13.3,11.0,11.0,0.0,0.0
2013-05-29,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.0,14.5,11.8,2.2,2.2,0.0,0.0
2013-05-30,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.0,15.5,12.3,3.0,3.0,0.0,0.0
2013-05-31,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.0,15.5,12.3,5.4,5.4,0.0,0.0
2013-06-01,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.0,15.0,12.0,1.2,1.2,0.0,0.0
2013-06-02,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,10.0,17.0,13.5,0.0,0.0,0.0,0.0
2013-06-03,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.5,17.5,10.5,0.0,0.0,0.0,0.0
2013-06-04,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.5,15.5,12.5,7.2,7.2,0.0,0.0
2013-06-05,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.0,16.0,12.5,0.4,0.4,0.0,0.0
2013-06-06,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,8.5,13.0,10.8,23.2,23.2,0.0,0.0
2013-06-07,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.0,14.0,11.5,7.0,7.0,0.0,0.0
2013-06-08,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.5,12.0,10.8,7.0,7.0,0.0,0.0
2013-06-09,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,8.5,15.5,12.0,0.6,0.6,0.0,0.0
2013-06-10,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,8.5,16.5,12.5,0.0,0.0,0.0,0.0
2013-06-11,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,10.5,16.5,13.5,14.2,14.2,0.0,0.0
2013-06-12,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,11.0,14.5,12.8,2.4,2.4,0.0,0.0
2013-06-13,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,10.5,16.5,13.5,0.0,0.0,0.0,0.0
2013-06-14,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,10.5,17.0,13.8,0.0,0.0,0.0,0.0
2013-06-15,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,11.0,18.5,14.8,0.4,0.4,0.0,0.0
2013-06-16,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.5,20.5,16.5,5.4,5.4,0.0,0.0
2013-06-17,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,11.5,17.0,14.3,0.6,0.6,0.0,0.0
2013-06-18,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.5,20.5,16.5,0.6,0.6,0.0,0.0
2013-06-19,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.0,19.0,15.5,0.0,0.0,0.0,0.0
2013-06-20,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,10.5,14.5,12.5,4.0,4.0,0.0,0.0
2013-06-21,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.0,15.5,13.8,0.6,0.6,0.0,0.0
2013-06-22,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.5,17.5,15.0,0.0,0.0,0.0,0.0
2013-06-23,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.5,22.5,17.5,1.6,1.6,0.0,0.0
2013-06-24,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,14.0,16.5,15.3,10.0,10.0,0.0,0.0
2013-06-25,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,13.0,19.0,16.0,10.4,10.4,0.0,0.0
2013-06-26,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,11.5,17.5,14.5,16.2,16.2,0.0,0.0
2013-06-27,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.0,17.0,14.5,2.2,2.2,0.0,0.0
2013-06-28,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,13.5,15.0,14.3,28.8,28.8,0.0,0.0
2013-06-29,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,13.5,22.0,17.8,18.2,18.2,0.0,0.0
2013-06-30,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,14.0,18.5,16.3,1.2,1.2,0.0,0.0
2013-07-01,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,14.5,16.0,15.3,0.0,0.0,0.0,0.0
2013-07-02,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.5,19.5,16.0,0.0,0.0,0.0,0.0
2013-07-03,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.5,22.5,17.5,0.0,0.0,0.0,0.0
2013-07-04,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.5,18.5,15.5,0.0,0.0,0.0,0.0
2013-07-05,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.5,18.0,15.3,0.0,0.0,0.0,0.0
2013-07-06,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.0,18.0,15.0,0.0,0.0,0.0,0.0
2013-07-07,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.0,17.0,14.5,0.0,0.0,0.0,0.0
2013-07-08,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,11.0,20.5,15.8,1.2,1.2,0.0,0.0
2013-07-09,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.5,18.0,15.3,0.4,0.4,0.0,0.0
2013-07-10,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,10.0,15.0,12.5,10.2,10.2,0.0,0.0
2013-07-11,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,10.5,17.0,13.8,2.0,2.0,0.0,0.0
2013-07-12,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,9.5,17.5,13.5,0.4,0.4,0.0,0.0
2013-07-13,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,10.5,18.0,14.3,0.0,0.0,0.0,0.0
2013-07-14,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.0,18.5,15.3,0.0,0.0,0.0,0.0
2013-07-15,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,11.5,20.0,15.8,0.0,0.0,0.0,0.0
2013-07-16,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.0,24.0,18.0,0.0,0.0,0.0,0.0
2013-07-17,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,15.0,24.0,19.5,0.0,0.0,0.0,0.0
2013-07-18,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,15.0,18.5,16.8,0.0,0.0,0.0,0.0
2013-07-19,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,13.5,17.5,15.5,0.0,0.0,0.0,0.0
2013-07-20,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,14.0,16.5,15.3,0.0,0.0,0.0,0.0
2013-07-21,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,13.5,20.0,16.8,0.0,0.0,0.0,0.0
2013-07-22,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,14.0,19.5,16.8,0.0,0.0,0.0,0.0
2013-07-23,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.5,18.0,15.3,0.0,0.0,0.0,0.0
2013-07-24,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,13.5,18.5,16.0,0.0,0.0,0.0,0.0
2013-07-25,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,13.0,18.5,15.8,0.0,0.0,0.0,0.0
2013-07-26,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,13.0,19.5,16.3,0.0,0.0,0.0,0.0
2013-07-27,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,12.0,18.5,15.3,0.0,0.0,0.0,0.0
