x,y,MIN_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_DAY,COOLING_DEGREE_DAYS,DIRECTION_MAX_GUST_FLAG,TOTAL_RAIN,MEAN_TEMPERATURE_FLAG,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS_FLAG,LOCAL_YEAR,TOTAL_SNOW,ID,MAX_TEMPERATURE,SNOW_ON_GROUND,HEATING_DEGREE_DAYS,LOCAL_DATE,SPEED_MAX_GUST,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,PROVINCE_CODE,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN_FLAG,MIN_TEMPERATURE,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND_FLAG,LOCAL_MONTH,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE,STATION_NAME
-121.76027777777777,49.24305555555556,,,2,,,7,M,,M,2018,0,1100120.2018.11.2,,0,,2018-11-02 00:00:00,,M,,,BC,,,M,,,11,,7,,11,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,1,0,,0,,,,2015,0,1100120.2015.1.1,3.5,0,17.7,2015-01-01 00:00:00,,,,,BC,,,,,,-3,,0,,1,1100120,0.3,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,3,0,,34,,,,2018,0,1100120.2018.2.3,9.5,0,11.2,2018-02-03 00:00:00,,,,,BC,,,,,,4,,34,,2,1100120,6.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,13,0,,3.4,,,,2013,0,1100120.2013.2.13,10.5,0,10.2,2013-02-13 00:00:00,,,,,BC,,,,,,5,,3.4,,2,1100120,7.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,4,0,,13.8,,,,2017,0,1100120.2017.5.4,25,0,0.2,2017-05-04 00:00:00,,,,,BC,,,,,,10.5,,13.8,,5,1100120,17.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,2,,,0,M,,M,2021,0,1100120.2021.9.2,,0,,2021-09-02 00:00:00,,M,,,BC,,,M,,,12,,0,,9,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,24,0,,0,,,,2016,0,1100120.2016.2.24,13.5,0,9.5,2016-02-24 00:00:00,,,,,BC,,,,,,3.5,,0,,2,1100120,8.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,25,,,3.4,M,,M,2021,0,1100120.2021.2.25,,0,,2021-02-25 00:00:00,,M,,,BC,,,M,,,-1,,3.4,,2,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,24,0,,0.6,,,,2013,0,1100120.2013.12.24,8,0,14,2013-12-24 00:00:00,,,,,BC,,,,,,0,,0.6,,12,1100120,4,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,15,,,0,M,,M,2023,0,1100120.2023.3.15,10.5,0,,2023-03-15 00:00:00,,,M,,BC,,,M,,,,,0,,3,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,13,0,,0,,,,2017,0,1100120.2017.2.13,13,0,14,2017-02-13 00:00:00,,,,,BC,,,,,,-5,,0,T,2,1100120,4,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,4,0,,0.8,,,,2016,0,1100120.2016.4.4,15,0,6.5,2016-04-04 00:00:00,,,,,BC,,,,,,8,,0.8,,4,1100120,11.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,4,0,,0,,,,2022,0,1100120.2022.8.4,20,0,0.7,2022-08-04 00:00:00,,,,,BC,,,,,,14.5,,0,,8,1100120,17.3,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,3,0,,0,,,,2013,0,1100120.2013.5.3,24.5,0,1,2013-05-03 00:00:00,,,,,BC,,,,,,9.5,,0,,5,1100120,17,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,13,0,,21,,,,2015,0,1100120.2015.3.13,19,0,3.7,2015-03-13 00:00:00,,,,,BC,,,,,,9.5,,21,,3,1100120,14.3,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,8,,,0,M,,M,2013,0,1100120.2013.9.8,24.5,,,2013-09-08 00:00:00,,,M,,BC,,,M,,,,,0,,9,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,30,0,,50,,,,2022,0,1100120.2022.10.30,14,0,7.5,2022-10-30 00:00:00,,,,,BC,,,,,,7,,50,,10,1100120,10.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,11,0,,1,,,,2023,0,1100120.2023.2.11,8,0,13.2,2023-02-11 00:00:00,,,,,BC,,,,,,1.5,,1,,2,1100120,4.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,27,0,,0,,,,2017,0,1100120.2017.1.27,9,0,14.2,2017-01-27 00:00:00,,,,,BC,,,,,,-1.5,,0,,1,1100120,3.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,26,0,,11,,,,2022,0,1100120.2022.2.26,9,0,14,2022-02-26 00:00:00,,,,,BC,,,,,,-1,,11,,2,1100120,4,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,10,0,,0,,,,2014,0,1100120.2014.11.10,12,0,10,2014-11-10 00:00:00,,,,,BC,,,,,,4,,0,,11,1100120,8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,21,,,0,M,,M,2019,0,1100120.2019.5.21,,0,,2019-05-21 00:00:00,,M,,,BC,,,M,,,9.5,,0,,5,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,15,0,,0,,,,2018,0,1100120.2018.3.15,13.5,0,10.2,2018-03-15 00:00:00,,,,,BC,,,,,,2,,0,,3,1100120,7.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,4,,,0,M,,M,2021,0,1100120.2021.12.4,,0,,2021-12-04 00:00:00,,M,,,BC,,,M,,,-1,,0,,12,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,T,2,0,,0,,,,2013,0,1100120.2013.6.2,21.5,0,2.7,2013-06-02 00:00:00,,,,,BC,,,,,T,9,,0,,6,1100120,15.3,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,27,2.3,,2,,,,2015,0,1100120.2015.8.27,29.5,0,0,2015-08-27 00:00:00,,,,,BC,,,,,,11,,2,,8,1100120,20.3,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,15,,,0,M,,M,2019,0,1100120.2019.4.15,,0,,2019-04-15 00:00:00,,M,,,BC,,,M,,,4,,0,,4,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,21,,,19,M,,M,2021,0,1100120.2021.3.21,,0,,2021-03-21 00:00:00,,M,,,BC,,,M,,,4.5,,19,,3,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,14,0,,26.4,,,,2016,0,1100120.2016.10.14,11,0,8.5,2016-10-14 00:00:00,,,,,BC,,,,,,8,,26.4,,10,1100120,9.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,13,,,2.6,M,,M,2021,0,1100120.2021.10.13,,0,,2021-10-13 00:00:00,,M,,,BC,,,M,,,6,,2.6,,10,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,22,,,0,M,,M,2018,0,1100120.2018.10.22,,0,,2018-10-22 00:00:00,,M,,,BC,,,M,,,8,,0,,10,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,22,,,12.2,M,,M,2018,0,1100120.2018.12.22,,0,,2018-12-22 00:00:00,,M,,,BC,,,M,,,-2,,12.2,,12,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,29,0,,8.2,,,,2018,0,1100120.2018.3.29,8,0,11.2,2018-03-29 00:00:00,,,,,BC,,,,,,5.5,,8.2,,3,1100120,6.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,1,,,0,M,,M,2022,0,1100120.2022.11.1,12,,,2022-11-01 00:00:00,,,M,,BC,,,M,,,,,0,,11,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,15,0,,6,,,,2022,0,1100120.2022.3.15,13,0,9.5,2022-03-15 00:00:00,,,,,BC,,,,,,4,,6,,3,1100120,8.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,1,,,0,M,,M,2020,0,1100120.2020.12.1,,0,,2020-12-01 00:00:00,,M,,,BC,,,M,,,1.5,,0,,12,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,8,0,,7.8,,,,2016,0,1100120.2016.11.8,16,0,5.2,2016-11-08 00:00:00,,,,,BC,,,,,,9.5,,7.8,,11,1100120,12.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,2,0,,0,,,,2016,0,1100120.2016.1.2,1.5,0,19.3,2016-01-02 00:00:00,,,,,BC,,,,,,-4,,0,,1,1100120,-1.3,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,3,,,0,M,,M,2023,0,1100120.2023.4.3,11,0,,2023-04-03 00:00:00,,,M,,BC,,,M,,,,,0,,4,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,24,,,0.8,M,,M,2019,0,1100120.2019.9.24,,0,,2019-09-24 00:00:00,,M,,,BC,,,M,,,11.5,,0.8,,9,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,T,18,0,,0,,,,2014,0,1100120.2014.6.18,18,0,2.5,2014-06-18 00:00:00,,,,,BC,,,,,T,13,,0,,6,1100120,15.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,7,0,,0,,,,2014,0,1100120.2014.6.7,24,0,1.5,2014-06-07 00:00:00,,,,,BC,,,,,,9,,0,,6,1100120,16.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,7,,,,M,,M,2022,,1100120.2022.12.7,,0,,2022-12-07 00:00:00,,M,,,BC,,,M,,,-2,,,,12,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,19,2.8,,0,,,,2014,0,1100120.2014.8.19,27,0,0,2014-08-19 00:00:00,,,,,BC,,,,,,14.5,,0,,8,1100120,20.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,15,0,,0.6,,,,2017,0,1100120.2017.10.15,16.5,0,6.7,2017-10-15 00:00:00,,,,,BC,,,,,,6,,0.6,,10,1100120,11.3,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,25,0,,0,,,,2014,0,1100120.2014.2.25,9,0,13.5,2014-02-25 00:00:00,,,,,BC,,,,,,0,,0,T,2,1100120,4.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,26,,,0,M,,M,2019,0,1100120.2019.5.26,,0,,2019-05-26 00:00:00,,M,M,,BC,,,M,,,,,0,,5,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,13,,,0,M,,M,2021,0,1100120.2021.8.13,,0,,2021-08-13 00:00:00,,M,,,BC,,,M,,,20.5,,0,,8,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,29,0,,0,,,,2022,0,1100120.2022.4.29,17,0,7.5,2022-04-29 00:00:00,,,,,BC,,,,,,4,,0,,4,1100120,10.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,6,4,,0,,,,2017,0,1100120.2017.9.6,27.5,0,0,2017-09-06 00:00:00,,,,,BC,,,,,,16.5,,0,,9,1100120,22,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,2,0,,0,,,,2013,0,1100120.2013.1.2,5,0,15.2,2013-01-02 00:00:00,,,,,BC,,,,,,0.5,,0,,1,1100120,2.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,10,,,0.8,M,,M,2019,0,1100120.2019.9.10,,0,,2019-09-10 00:00:00,,M,,,BC,,,M,,,14.5,,0.8,,9,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,28,0,,0,,,,2022,0,1100120.2022.4.28,14,0,9.5,2022-04-28 00:00:00,,,,,BC,,,,,,3,,0,,4,1100120,8.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,27,1,,16.8,,,,2013,0,1100120.2013.8.27,25,0,0,2013-08-27 00:00:00,,,,,BC,,,,,,13,,16.8,,8,1100120,19,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,24,0,,20.4,,,,2015,0,1100120.2015.1.24,13,0,8.5,2015-01-24 00:00:00,,,,,BC,,,,,,6,,20.4,,1,1100120,9.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,9,0,,0.9,,,,2017,0,1100120.2017.4.9,13,0,9.5,2017-04-09 00:00:00,,,,,BC,,,,,,4,,0.9,,4,1100120,8.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,7,0,,0.4,,,,2014,0,1100120.2014.12.7,10,0,12,2014-12-07 00:00:00,,,,,BC,,,,,,2,,0.4,,12,1100120,6,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,24,,,0.4,M,,M,2020,0,1100120.2020.2.24,,0,,2020-02-24 00:00:00,,M,,,BC,,,M,,,2,,0.4,,2,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,25,0,,3.6,,,,2015,0,1100120.2015.5.25,17,0,3.2,2015-05-25 00:00:00,,,,,BC,,,,,,12.5,,3.6,,5,1100120,14.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,27,,,0,M,,M,2021,0,1100120.2021.8.27,,0,,2021-08-27 00:00:00,,M,,,BC,,,M,,,14,,0,,8,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,10,,,1,M,,M,2019,0,1100120.2019.12.10,,0,,2019-12-10 00:00:00,,M,,,BC,,,M,,,1,,1,,12,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,21,0,,0,,,,2018,0,1100120.2018.5.21,21.5,0,1,2018-05-21 00:00:00,,,,,BC,,,,,,12.5,,0,,5,1100120,17,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,17,6.3,,0,,,,2022,0,1100120.2022.8.17,33.5,0,0,2022-08-17 00:00:00,,,,,BC,,,,,,15,,0,,8,1100120,24.3,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,31,2.3,,0,,,,2017,0,1100120.2017.7.31,29,0,0,2017-07-31 00:00:00,,,,,BC,,,,,,11.5,,0,,7,1100120,20.3,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,27,,,,M,,M,2017,,1100120.2017.12.27,,0,,2017-12-27 00:00:00,,M,,,BC,,,M,,,-6,,,T,12,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,29,,,,M,,M,2022,,1100120.2022.11.29,,0,,2022-11-29 00:00:00,,M,,,BC,,,M,,,-4,,,,11,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,2,,,0,M,,M,2023,0,1100120.2023.9.2,29.5,0,,2023-09-02 00:00:00,,,M,,BC,,,M,,,,,0,,9,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,12,0,,0,,,,2015,0,1100120.2015.1.12,8.5,0,11,2015-01-12 00:00:00,,,,,BC,,,,,,5.5,,0,,1,1100120,7,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,26,2,,0,,,,2017,0,1100120.2017.6.26,25.5,0,0,2017-06-26 00:00:00,,,,,BC,,,,,,14.5,,0,,6,1100120,20,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,10,0,,10.8,,,,2018,0,1100120.2018.9.10,18,0,2.2,2018-09-10 00:00:00,,,,,BC,,,,,,13.5,,10.8,,9,1100120,15.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,22,,,16.5,M,,M,2023,0,1100120.2023.5.22,16,0,,2023-05-22 00:00:00,,,M,,BC,,,M,,,,,16.5,,5,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,22,0,,0,,,,2022,0,1100120.2022.3.22,15,0,8,2022-03-22 00:00:00,,,,,BC,,,,,,5,,0,,3,1100120,10,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,31,,,0.8,M,,M,2018,0,1100120.2018.12.31,,0,,2018-12-31 00:00:00,,M,,,BC,,,M,,,2,,0.8,,12,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,T,25,0,,0,,,,2013,0,1100120.2013.4.25,19.5,0,6.5,2013-04-25 00:00:00,,,,,BC,,,,,T,3.5,,0,,4,1100120,11.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,30,,,0,M,,M,2021,0,1100120.2021.10.30,,0,,2021-10-30 00:00:00,,M,,,BC,,,M,,,5,,0,,10,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,24,,,4,M,T,M,2021,0,1100120.2021.1.24,,0,,2021-01-24 00:00:00,,M,,,BC,,,M,,,-2,,4,,1,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,3,6.3,,0,,,,2017,0,1100120.2017.9.3,33.5,0,0,2017-09-03 00:00:00,,,,,BC,,,,,,15,,0,,9,1100120,24.3,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,19,,,0,M,,M,2020,0,1100120.2020.3.19,,0,,2020-03-19 00:00:00,,M,,,BC,,,M,,,4,,0,,3,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,2,0,,2.8,,,,2017,0,1100120.2017.4.2,11,0,9.2,2017-04-02 00:00:00,,,,,BC,,,,,,6.5,,2.8,,4,1100120,8.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,31,0,,0,,,,2015,0,1100120.2015.5.31,25,0,1,2015-05-31 00:00:00,,,,,BC,,,,,,9,,0,,5,1100120,17,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,16,,,0,M,,M,2021,0,1100120.2021.7.16,,0,,2021-07-16 00:00:00,,M,,,BC,,,M,,,12,,0,,7,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,15,0,,2.2,,,,2018,0,1100120.2018.1.15,10,0,9.5,2018-01-15 00:00:00,,,,,BC,,,,,,7,,2.2,,1,1100120,8.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,19,0,,1.8,,,,2014,0,1100120.2014.9.19,20,0,0.2,2014-09-19 00:00:00,,,,,BC,,,,,,15.5,,1.8,,9,1100120,17.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,15,0,,10.6,,,,2013,0,1100120.2013.2.15,13,0,9.7,2013-02-15 00:00:00,,,,,BC,,,,,,3.5,,10.6,,2,1100120,8.3,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,29,,,0,M,,M,2023,0,1100120.2023.6.29,27.5,0,,2023-06-29 00:00:00,,,M,,BC,,,M,,,,,0,,6,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,28,,,72.4,M,,M,2021,0,1100120.2021.11.28,,0,,2021-11-28 00:00:00,,M,,,BC,,,M,,,5,,72.4,,11,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,26,,,3,M,,M,2020,0,1100120.2020.3.26,,0,,2020-03-26 00:00:00,,M,,,BC,,,M,,,2,,3,,3,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,15,0,,0,,,,2013,0,1100120.2013.6.15,26,0,0.5,2013-06-15 00:00:00,,,,,BC,,,,,,9,,0,,6,1100120,17.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,27,,,0,M,,M,2019,0,1100120.2019.11.27,,0,,2019-11-27 00:00:00,,M,,,BC,,,M,,,5,,0,,11,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,21,0,,0,,,,2014,0,1100120.2014.3.21,12,0,11.2,2014-03-21 00:00:00,,,,,BC,,,,,,1.5,,0,,3,1100120,6.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,27,,,20,M,,M,2021,0,1100120.2021.10.27,,0,,2021-10-27 00:00:00,,M,,,BC,,,M,,,8,,20,,10,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,16,,,16,M,,M,2020,0,1100120.2020.11.16,,0,,2020-11-16 00:00:00,,M,,,BC,,,M,,,5,,16,,11,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,12,0,,21.5,,,,2023,0,1100120.2023.2.12,9,0,14,2023-02-12 00:00:00,,,,,BC,,,,,,-1,,21.5,,2,1100120,4,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,17,,,0,M,M,M,2021,,1100120.2021.12.17,,1,,2021-12-17 00:00:00,,M,,,BC,,,M,,,-3,,0,,12,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,25,,,8,M,,M,2019,0,1100120.2019.3.25,,0,,2019-03-25 00:00:00,,M,,,BC,,,M,,,6.5,,8,,3,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,24,0,,39.4,,,,2015,0,1100120.2015.7.24,18,0,3.2,2015-07-24 00:00:00,,,,,BC,,,,,,11.5,,39.4,,7,1100120,14.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,19,1.3,,7.4,,,,2014,0,1100120.2014.7.19,23,0,0,2014-07-19 00:00:00,,,,,BC,,,,,,15.5,,7.4,,7,1100120,19.3,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,18,0,,44,,,,2017,0,1100120.2017.2.18,7.5,0,12,2017-02-18 00:00:00,,,,,BC,,,,,,4.5,,44,,2,1100120,6,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,2,,,0,M,,M,2020,0,1100120.2020.12.2,,0,,2020-12-02 00:00:00,,M,,,BC,,,M,,,1,,0,,12,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,9,,,1,M,,M,2023,0,1100120.2023.8.9,23.5,0,,2023-08-09 00:00:00,,,M,,BC,,,M,,,,,1,,8,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,10,0,,11,,,,2014,0,1100120.2014.10.10,18.5,0,4.7,2014-10-10 00:00:00,,,,,BC,,,,,,8,,11,,10,1100120,13.3,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,20,2.5,,0,,,,2015,0,1100120.2015.5.20,27,0,0,2015-05-20 00:00:00,,,,,BC,,,,,,14,,0,,5,1100120,20.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,4,,,5.6,M,,M,2021,0,1100120.2021.3.4,,0,,2021-03-04 00:00:00,,M,,,BC,,,M,,,1,,5.6,,3,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,23,0,,2.4,,,,2016,0,1100120.2016.11.23,8,0,11.5,2016-11-23 00:00:00,,,,,BC,,,,,,5,,2.4,,11,1100120,6.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,13,5.5,,0,,,,2016,0,1100120.2016.8.13,31.5,0,0,2016-08-13 00:00:00,,,,,BC,,,,,,15.5,,0,,8,1100120,23.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,5,0,,0,,,,2017,0,1100120.2017.11.5,3.5,0,17.5,2017-11-05 00:00:00,,,,,BC,,,,,,-2.5,,0,,11,1100120,0.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,28,4.8,,0,,,,2017,0,1100120.2017.5.28,29.5,0,0,2017-05-28 00:00:00,,,,,BC,,,,,,16,,0,,5,1100120,22.8,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,27,8.5,,0,,,,2022,0,1100120.2022.7.27,33.5,0,0,2022-07-27 00:00:00,,,,,BC,,,,,,19.5,,0,,7,1100120,26.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,11,,,0,M,,M,2021,0,1100120.2021.8.11,,0,,2021-08-11 00:00:00,,M,,,BC,,,M,,,16,,0,,8,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,17,0,,6,,,,2022,0,1100120.2022.1.17,5,0,15,2022-01-17 00:00:00,,,,,BC,,,,,,1,,6,,1,1100120,3,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,9,0,,0,,,,2023,0,1100120.2023.5.9,19.5,0,3,2023-05-09 00:00:00,,,,,BC,,,,,,10.5,,0,,5,1100120,15,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,28,0,,9.6,,,,2022,0,1100120.2022.5.28,17,0,5.7,2022-05-28 00:00:00,,,,,BC,,,,,,7.5,,9.6,,5,1100120,12.3,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,14,0,,0,,,,2018,0,1100120.2018.2.14,5.5,4,16,2018-02-14 00:00:00,,,,,BC,,,,,,-1.5,,0,,2,1100120,2,AGASSIZ CDA
