x,y,STATION_NAME,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,COOLING_DEGREE_DAYS,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,SPEED_MAX_GUST_FLAG,PROVINCE_CODE,TOTAL_PRECIPITATION_FLAG,MIN_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,LOCAL_YEAR,MAX_REL_HUMIDITY,HEATING_DEGREE_DAYS,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,ID,MAX_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,MIN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_RAIN,TOTAL_SNOW_FLAG,TOTAL_RAIN_FLAG,TOTAL_SNOW,LOCAL_DATE,MEAN_TEMPERATURE,MAX_REL_HUMIDITY_FLAG,MIN_REL_HUMIDITY_FLAG,MAX_TEMPERATURE,DIRECTION_MAX_GUST
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,0,0,11,25,,0.2,,,BC,,,,2016,,11.9,4.4,1062251,1062251.2016.11.25,,,,,,M,M,,2016-11-25 00:00:00,6.1,,,7.7,0
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,93,0,11,23,,10,,,BC,,,,2016,,10,6.5,1062251,1062251.2016.11.23,,,,,,M,M,,2016-11-23 00:00:00,8,,,9.4,15
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,43,0,11,22,,1,,,BC,,,,2016,,10,7,1062251,1062251.2016.11.22,,,,,,M,M,,2016-11-22 00:00:00,8,,,9,18
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,67,0,11,12,,1.6,,,BC,,,,2016,,9.8,5.5,1062251,1062251.2016.11.12,,,,,,M,M,,2016-11-12 00:00:00,8.2,,,10.8,15
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,48,0,11,28,,0.4,,,BC,,,,2016,,10.4,6.6,1062251,1062251.2016.11.28,,,,,,M,M,,2016-11-28 00:00:00,7.6,,,8.6,17
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,113,0,11,6,,6.4,,,BC,,,,2016,,8.2,8.8,1062251,1062251.2016.11.6,,,,,,M,M,,2016-11-06 00:00:00,9.8,,,10.7,14
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,83,0,11,13,,21.8,,,BC,,,,2016,,8.1,7.7,1062251,1062251.2016.11.13,,,,,,M,M,,2016-11-13 00:00:00,9.9,,,12.1,15
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,98,0,11,10,,18,,,BC,,,,2016,,7,10.2,1062251,1062251.2016.11.10,,,,,,M,M,,2016-11-10 00:00:00,11,,,11.8,15
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,46,,11,14,M,,,,BC,M,,M,2016,,,7.3,1062251,1062251.2016.11.14,M,,E,M,,M,M,,2016-11-14 00:00:00,,,,,22
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,107,0,11,3,,12.2,,,BC,,,,2016,,7.8,7.6,1062251,1062251.2016.11.3,,,,,,M,M,,2016-11-03 00:00:00,10.2,,,12.8,18
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,96,0,11,29,,62.4,,,BC,,,,2016,,10.5,4.9,1062251,1062251.2016.11.29,,,,,,M,M,,2016-11-29 00:00:00,7.5,,,10,16
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,72,0,11,1,,9,,,BC,,,,2016,,9.1,7.1,1062251,1062251.2016.11.1,,,,,,M,M,,2016-11-01 00:00:00,8.9,,,10.6,15
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,117,0,11,4,,24.6,,,BC,,,,2016,,7.1,7.6,1062251,1062251.2016.11.4,,,,,,M,M,,2016-11-04 00:00:00,10.9,,,14.1,15
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,43,0,11,15,,0.2,,,BC,,,,2016,,11.5,4.3,1062251,1062251.2016.11.15,,,,,,M,M,,2016-11-15 00:00:00,6.5,,,8.7,13
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,37,0,11,20,,0,,,BC,,,,2016,,13.2,3.1,1062251,1062251.2016.11.20,,,,,,M,M,,2016-11-20 00:00:00,4.8,,,6.4,33
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,57,0,11,27,,5.4,,,BC,,,,2016,,11,5.2,1062251,1062251.2016.11.27,,,,,,M,M,,2016-11-27 00:00:00,7,,,8.7,15
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,46,0,11,8,,8.6,,,BC,,,,2016,,7.2,9.6,1062251,1062251.2016.11.8,,,,,,M,M,,2016-11-08 00:00:00,10.8,,,12,18
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,102,,12,1,M,,,,BC,M,,M,2016,,,5.6,1062251,1062251.2016.12.1,M,,E,M,,M,M,,2016-12-01 00:00:00,,,,,16
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,37,0,12,4,,2.8,,,BC,,,,2016,,15,1.4,1062251,1062251.2016.12.4,,,,,,M,M,,2016-12-04 00:00:00,3,,,4.5,26
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,85,0,12,2,,7.8,,,BC,,,,2016,,10,4.9,1062251,1062251.2016.12.2,,,,,,M,M,,2016-12-02 00:00:00,8,,,11,16
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,124,0,12,3,,5,,,BC,,,,2016,,14.6,1.4,1062251,1062251.2016.12.3,,,,,,M,M,,2016-12-03 00:00:00,3.4,,,5.3,16
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,33,0,12,16,,0,,,BC,,,,2016,,16.7,-0.9,1062251,1062251.2016.12.16,,,,,,M,M,,2016-12-16 00:00:00,1.3,,,3.5,30
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,61,,12,15,M,,,,BC,M,,M,2016,,,1.1,1062251,1062251.2016.12.15,M,,E,M,,M,M,,2016-12-15 00:00:00,,,,,35
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,76,0,12,31,,0.4,,,BC,,,,2016,,13.7,2.6,1062251,1062251.2016.12.31,,,,,,M,M,,2016-12-31 00:00:00,4.3,,,6,35
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,80,0,12,29,,7.6,,,BC,,,,2016,,13.6,2.9,1062251,1062251.2016.12.29,,,,,,M,M,,2016-12-29 00:00:00,4.4,,,5.9,35
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,46,,12,28,M,,,,BC,M,,M,2016,,,2.7,1062251,1062251.2016.12.28,M,,E,M,,M,M,,2016-12-28 00:00:00,,,,,19
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,48,0,12,11,,1.6,,,BC,,,,2016,,14.8,2,1062251,1062251.2016.12.11,,,,,,M,M,,2016-12-11 00:00:00,3.2,,,4.3,11
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,37,0,12,17,,1.6,,,BC,,,,2016,,13.1,3.4,1062251,1062251.2016.12.17,,,,,,M,M,,2016-12-17 00:00:00,4.9,,,6.4,18
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,35,0,12,23,,5.6,,,BC,,,,2016,,15,1.5,1062251,1062251.2016.12.23,,,,,,M,M,,2016-12-23 00:00:00,3,,,4.5,31
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,33,,12,6,M,,,,BC,M,,M,2016,,,1.3,1062251,1062251.2016.12.6,M,,E,M,,M,M,,2016-12-06 00:00:00,,,,,31
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,80,0,12,9,,6,,,BC,,,,2016,,13.4,2.2,1062251,1062251.2016.12.9,,,,,,M,M,,2016-12-09 00:00:00,4.6,,,7,11
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,61,,12,27,M,,,,BC,M,,M,2016,,,3.6,1062251,1062251.2016.12.27,M,,E,M,,M,M,,2016-12-27 00:00:00,,,,,27
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,61,0,12,21,,4.2,,,BC,,,,2016,,12.4,2.2,1062251,1062251.2016.12.21,,,,,,M,M,,2016-12-21 00:00:00,5.6,,,9,19
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,67,0,12,18,,9.8,,,BC,,,,2016,,12,4.4,1062251,1062251.2016.12.18,,,,,,M,M,,2016-12-18 00:00:00,6,,,7.6,18
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,33,0,12,12,,0,,,BC,,,,2016,,15.7,0.4,1062251,1062251.2016.12.12,,,,,,M,M,,2016-12-12 00:00:00,2.3,,,4.1,34
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,32,0,12,14,,0,,,BC,,,,2016,,16.8,-0.9,1062251,1062251.2016.12.14,,,,,,M,M,,2016-12-14 00:00:00,1.2,,,3.2,35
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,0,0,12,22,,0,,,BC,,,,2016,,14.3,1.8,1062251,1062251.2016.12.22,,,,,,M,M,,2016-12-22 00:00:00,3.7,,,5.5,0
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,63,0,12,26,,5.4,,,BC,,,,2016,,11.2,5,1062251,1062251.2016.12.26,,,,,,M,M,,2016-12-26 00:00:00,6.8,,,8.6,16
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,74,0,12,5,,0.6,,,BC,,,,2016,,14.9,0.6,1062251,1062251.2016.12.5,,,,,,M,M,,2016-12-05 00:00:00,3.1,,,5.6,31
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,83,0,12,20,,15.8,,,BC,,,,2016,,12.5,2.7,1062251,1062251.2016.12.20,,,,,,M,M,,2016-12-20 00:00:00,5.5,,,8.3,14
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,43,0,12,7,,0,,,BC,,,,2016,,16.1,0.9,1062251,1062251.2016.12.7,,,,,,M,M,,2016-12-07 00:00:00,1.9,,,2.9,11
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,43,0,12,8,,0,,,BC,,,,2016,,14.5,2.1,1062251,1062251.2016.12.8,,,,,,M,M,,2016-12-08 00:00:00,3.5,,,4.8,9
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,0,0,12,13,,0,,,BC,,,,2016,,17.6,-0.9,1062251,1062251.2016.12.13,,,,,,M,M,,2016-12-13 00:00:00,0.4,,,1.6,0
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,0,0,12,30,,0,,,BC,,,,2016,,13.4,2.8,1062251,1062251.2016.12.30,,,,,,M,M,,2016-12-30 00:00:00,4.6,,,6.3,0
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,35,0,12,24,,0.2,,,BC,,,,2016,,16,0.9,1062251,1062251.2016.12.24,,,,,,M,M,,2016-12-24 00:00:00,2,,,3,31
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,83,0,12,19,,4.2,,,BC,,,,2016,,12.2,3.9,1062251,1062251.2016.12.19,,,,,,M,M,,2016-12-19 00:00:00,5.8,,,7.7,16
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,76,0,12,25,,8.6,,,BC,,,,2016,,14,1.1,1062251,1062251.2016.12.25,,,,,,M,M,,2016-12-25 00:00:00,4,,,6.9,16
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,48,0,12,10,,0.2,,,BC,,,,2016,,14,2,1062251,1062251.2016.12.10,,,,,,M,M,,2016-12-10 00:00:00,4,,,5.9,10
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,80,0,1,7,,15.8,,,BC,,,,2017,,14.7,1.3,1062251,1062251.2017.1.7,,,,,,M,M,,2017-01-07 00:00:00,3.3,,,5.3,11
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,0,0,1,6,,0.6,,,BC,,,,2017,,15.2,1.6,1062251,1062251.2017.1.6,,,,,,M,M,,2017-01-06 00:00:00,2.8,,,4,0
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,61,0,1,8,,9.2,,,BC,,,,2017,,15,0.9,1062251,1062251.2017.1.8,,,,,,M,M,,2017-01-08 00:00:00,3,,,5.1,10
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,37,0,1,2,,0,,,BC,,,,2017,,14.7,1.7,1062251,1062251.2017.1.2,,,,,,M,M,,2017-01-02 00:00:00,3.3,,,4.8,33
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,35,0,1,3,,0,,,BC,,,,2017,,14.3,2.4,1062251,1062251.2017.1.3,,,,,,M,M,,2017-01-03 00:00:00,3.7,,,4.9,35
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,83,0,1,1,,0,,,BC,,,,2017,,14.5,2,1062251,1062251.2017.1.1,,,,,,M,M,,2017-01-01 00:00:00,3.5,,,5,36
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,0,0,1,5,,0,,,BC,,,,2017,,14.2,2.5,1062251,1062251.2017.1.5,,,,,,M,M,,2017-01-05 00:00:00,3.8,,,5,0
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,32,0,1,4,,0,,,BC,,,,2017,,14.4,2.8,1062251,1062251.2017.1.4,,,,,,M,M,,2017-01-04 00:00:00,3.6,,,4.4,34
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,61,0,1,9,,7.8,,,BC,,,,2017,,16.5,-0.8,1062251,1062251.2017.1.9,,,,,,M,M,,2017-01-09 00:00:00,1.5,,,3.8,10
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,67,0,1,13,,2.4,,,BC,,,,2017,,11.9,4.1,1062251,1062251.2017.1.13,,,,,,M,M,,2017-01-13 00:00:00,6.1,,,8.1,17
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,67,0,1,21,,1.6,,,BC,,,,2017,,13.2,1.9,1062251,1062251.2017.1.21,,,,,,M,M,,2017-01-21 00:00:00,4.8,,,7.7,11
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,59,0,1,17,,5.2,,,BC,,,,2017,,11.5,4.6,1062251,1062251.2017.1.17,,,,,,M,M,,2017-01-17 00:00:00,6.5,,,8.3,13
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,48,0,1,25,,0.4,,,BC,,,,2017,,10.5,6.7,1062251,1062251.2017.1.25,,,,,,M,M,,2017-01-25 00:00:00,7.5,,,8.2,16
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,59,0,1,18,,0.4,,,BC,,,,2017,,10.7,6,1062251,1062251.2017.1.18,,,,,,M,M,,2017-01-18 00:00:00,7.3,,,8.6,14
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,0,0,1,11,,0,,,BC,,,,2017,,16.1,-0.3,1062251,1062251.2017.1.11,,,,,,M,M,,2017-01-11 00:00:00,1.9,,,4.1,0
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,74,0,1,22,,2,,,BC,,,,2017,,11.6,4.4,1062251,1062251.2017.1.22,,,,,,M,M,,2017-01-22 00:00:00,6.4,,,8.3,14
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,0,0,1,19,,3.4,,,BC,,,,2017,,12.9,3.9,1062251,1062251.2017.1.19,,,,,,M,M,,2017-01-19 00:00:00,5.1,,,6.3,0
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,39,0,1,30,,0,,,BC,,,,2017,,13.7,2.7,1062251,1062251.2017.1.30,,,,,,M,M,,2017-01-30 00:00:00,4.3,,,5.9,34
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,39,0,1,10,,2.4,,,BC,,,,2017,,17.3,-1.9,1062251,1062251.2017.1.10,,,,,,M,M,,2017-01-10 00:00:00,0.7,,,3.3,36
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,0,0,1,23,,0,,,BC,,,,2017,,10.9,4.9,1062251,1062251.2017.1.23,,,,,,M,M,,2017-01-23 00:00:00,7.1,,,9.2,0
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,56,0,1,14,,0.8,,,BC,,,,2017,,9.1,7.5,1062251,1062251.2017.1.14,,,,,,M,M,,2017-01-14 00:00:00,8.9,,,10.3,16
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,80,0,1,16,,2.8,,,BC,,,,2017,,9.7,5.4,1062251,1062251.2017.1.16,,,,,,M,M,,2017-01-16 00:00:00,8.3,,,11.1,17
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,78,0,1,28,,13.2,,,BC,,,,2017,,8.6,8.3,1062251,1062251.2017.1.28,,,,,,M,M,,2017-01-28 00:00:00,9.4,,,10.4,16
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,54,0,1,29,,0,,,BC,,,,2017,,11.8,2.9,1062251,1062251.2017.1.29,,,,,,M,M,,2017-01-29 00:00:00,6.2,,,9.5,21
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,37,0,1,20,,0.4,,,BC,,,,2017,,14.3,2.8,1062251,1062251.2017.1.20,,,,,,M,M,,2017-01-20 00:00:00,3.7,,,4.6,34
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,46,0,1,31,,0,,,BC,,,,2017,,15.1,1.6,1062251,1062251.2017.1.31,,,,,,M,M,,2017-01-31 00:00:00,2.9,,,4.2,36
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,100,0,1,27,,55.2,,,BC,,,,2017,,9.1,7.8,1062251,1062251.2017.1.27,,,,,,M,M,,2017-01-27 00:00:00,8.9,,,10,16
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,74,0,1,15,,7.8,,,BC,,,,2017,,10.6,5.2,1062251,1062251.2017.1.15,,,,,,M,M,,2017-01-15 00:00:00,7.4,,,9.5,16
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,63,,1,24,M,,,,BC,M,,M,2017,,,5.3,1062251,1062251.2017.1.24,M,,E,M,,M,M,,2017-01-24 00:00:00,,,,,17
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,0,0,1,12,,0,,,BC,,,,2017,,15,1,1062251,1062251.2017.1.12,,,,,,M,M,,2017-01-12 00:00:00,3,,,4.9,0
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,104,0,1,26,,13.4,,,BC,,,,2017,,10,6.9,1062251,1062251.2017.1.26,,,,,,M,M,,2017-01-26 00:00:00,8,,,9.1,15
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,65,0,2,12,,3,,,BC,,,,2017,,10.1,6.7,1062251,1062251.2017.2.12,,,,,,M,M,,2017-02-12 00:00:00,7.9,,,9.1,16
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,0,0,2,1,,0,,,BC,,,,2017,,15.4,0.7,1062251,1062251.2017.2.1,,,,,,M,M,,2017-02-01 00:00:00,2.6,,,4.5,0
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,39,0,2,9,,0,,,BC,,,,2017,,18.5,-2.1,1062251,1062251.2017.2.9,,,,,,M,M,,2017-02-09 00:00:00,-0.5,,,1.2,33
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,0,0,2,19,,0,,,BC,,,,2017,,14.6,1.6,1062251,1062251.2017.2.19,,,,,,M,M,,2017-02-19 00:00:00,3.4,,,5.2,0
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,44,0,2,6,,0,,,BC,,,,2017,,17.7,-0.4,1062251,1062251.2017.2.6,,,,,,M,M,,2017-02-06 00:00:00,0.3,,,0.9,4
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,56,0,2,5,,0,,,BC,,,,2017,,17.1,0.1,1062251,1062251.2017.2.5,,,,,,M,M,,2017-02-05 00:00:00,0.9,,,1.6,4
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,56,0,2,26,,0,,,BC,,,,2017,,14,3.1,1062251,1062251.2017.2.26,,,,,,M,M,,2017-02-26 00:00:00,4,,,4.8,34
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,72,0,2,15,,4.8,,,BC,,,,2017,,11.1,4.6,1062251,1062251.2017.2.15,,,,,,M,M,,2017-02-15 00:00:00,6.9,,,9.1,15
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,43,0,2,7,,0,,,BC,,,,2017,,19.3,-2.5,1062251,1062251.2017.2.7,,,,,,M,M,,2017-02-07 00:00:00,-1.3,,,-0.1,11
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,44,0,2,18,,0,,,BC,,,,2017,,14.6,2.1,1062251,1062251.2017.2.18,,,,,,M,M,,2017-02-18 00:00:00,3.4,,,4.6,36
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,61,0,2,11,,4.4,,,BC,,,,2017,,13.3,2.4,1062251,1062251.2017.2.11,,,,,,M,M,,2017-02-11 00:00:00,4.7,,,7,17
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,93,0,2,14,,25,,,BC,,,,2017,,10.3,6.9,1062251,1062251.2017.2.14,,,,,,M,M,,2017-02-14 00:00:00,7.7,,,8.4,16
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,32,0,2,2,,0,,,BC,,,,2017,,15.7,0.6,1062251,1062251.2017.2.2,,,,,,M,M,,2017-02-02 00:00:00,2.3,,,4,33
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,0,,2,23,M,,,,BC,M,,M,2017,,,1.6,1062251,1062251.2017.2.23,M,,E,M,,M,M,,2017-02-23 00:00:00,,,,,0
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,59,0,2,28,,2.8,,,BC,,,,2017,,15.1,0.9,1062251,1062251.2017.2.28,,,,,,M,M,,2017-02-28 00:00:00,2.9,,,4.9,30
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,54,0,2,16,,0,,,BC,,,,2017,,12.1,4,1062251,1062251.2017.2.16,,,,,,M,M,,2017-02-16 00:00:00,5.9,,,7.7,33
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,65,0,2,25,,0,,,BC,,,,2017,,13.7,1.7,1062251,1062251.2017.2.25,,,,,,M,M,,2017-02-25 00:00:00,4.3,,,6.9,35
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,0,0,2,10,,0.6,,,BC,,,,2017,,15.4,0.4,1062251,1062251.2017.2.10,,,,,,M,M,,2017-02-10 00:00:00,2.6,,,4.8,0
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,50,0,2,24,,0,,,BC,,,,2017,,14.5,2.3,1062251,1062251.2017.2.24,,,,,,M,M,,2017-02-24 00:00:00,3.5,,,4.6,34
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,39,0,2,8,,0,,,BC,,,,2017,,18.6,-2.1,1062251,1062251.2017.2.8,,,,,,M,M,,2017-02-08 00:00:00,-0.6,,,1,33
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,72,0,2,3,,0,,,BC,,,,2017,,16.3,-0.1,1062251,1062251.2017.2.3,,,,,,M,M,,2017-02-03 00:00:00,1.7,,,3.4,36
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,32,0,2,22,,0.2,,,BC,,,,2017,,15.1,1.2,1062251,1062251.2017.2.22,,,,,,M,M,,2017-02-22 00:00:00,2.9,,,4.6,34
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,43,0,2,27,,0,,,BC,,,,2017,,15.1,1.5,1062251,1062251.2017.2.27,,,,,,M,M,,2017-02-27 00:00:00,2.9,,,4.3,33
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,41,0,2,21,,0.2,,,BC,,,,2017,,14,1.5,1062251,1062251.2017.2.21,,,,,,M,M,,2017-02-21 00:00:00,4,,,6.4,34
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,69,0,2,13,,5,,,BC,,,,2017,,10,6.6,1062251,1062251.2017.2.13,,,,,,M,M,,2017-02-13 00:00:00,8,,,9.3,15
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,48,0,2,4,,0,,,BC,,,,2017,,16.3,0.7,1062251,1062251.2017.2.4,,,,,,M,M,,2017-02-04 00:00:00,1.7,,,2.6,5
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,35,0,2,20,,5.2,,,BC,,,,2017,,15.4,1.4,1062251,1062251.2017.2.20,,,,,,M,M,,2017-02-20 00:00:00,2.6,,,3.7,29
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,0,0,2,17,,0,,,BC,,,,2017,,13.9,2.3,1062251,1062251.2017.2.17,,,,,,M,M,,2017-02-17 00:00:00,4.1,,,5.8,0
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,72,0,3,6,,0,,,BC,,,,2017,,17.8,-2.4,1062251,1062251.2017.3.6,,,,,,M,M,,2017-03-06 00:00:00,0.2,,,2.8,15
